track,country,time,race_name,race_class,handicap_rating,age_class,distance_mls,distance,going,prize,total_runners,winning_time,winning_timevar,total_sp,position,row_index,draw,horse_name,horse_country,price_decimal,price_fraction,price_symbol,horse_age,birth_year,horse_weight,dist_upper,dist_beaten,racecard_number,horse_or,horse_ts,horse_rpr,horse_jockey,horse_trainer,color,sex,sire,dam,damsire,price_var,headgear,wind_12
,,04:05:00,,,,,,,,"1: £4,288.68; 2: £1,259.28; 3: £629.64; 4: £350; 5: £350; 6: £350; 7: £350; 8: £350",,159.58,-10.30,,,,,Bad Attitude,,11.000,4/9,,,,145.0,15.0000,8.5000,,76.0,34.0,41.0,Callum Rodriguez,Charlie Fellowes,,,Buratino (IRE),Arbaah (USA),Bachelor Duke,op 11/4,,
,,04:07:00,,,,,,,,"1: £4,463.61; 2: £1,328.25; 3: £663.78; 4: £331.89",,159.92,-10.15,,,,,Ballard Down,,12.000,40/1,,,,146.0,16.0000,8.7500,,77.0,35.0,42.0,Callum Shepherd,Charlie Longsdon,,,Burwaaz,Arctic Passage (GER),Bad As I Wanna Be,op 11/4 tchd 7/2,,
,,04:10:00,,,,,,,,"1: £5,207.54; 2: £1,549.62; 3: £774.41; 4: £387.21; 5: £300; 6: £300; 7: £300; 8: £300",,161.23,-9.83,,,,,Ballyadam Destiny,,13.000,5/1,,,,147.0,17.0000,9.0000,,78.0,36.0,43.0,Cathal Landers,Charlie Mann,,,Cable Bay (IRE),Arctic Ring,Bahamian Bounty,op 11/8,,
,,04:15:00,,,,,,,,"1: £5,498.65; 2: £1,636.25; 3: £817.70; 4: £408.85; 5: £300; 6: £300; 7: £300",,176.14,-9.33,,,,,Ballyandy,,15.000,5/2,,,,148.0,18.0000,9.2500,,79.0,37.0,44.0,Charles Bishop,Chris Fairhurst,,,Cachet Noir (USA),Arctic Royal (IRE),Bahhare,op 11/8 tchd 15/8,,
,,04:20:00,,,,,,,,"1: £5,498.65; 2: £1,636.25; 3: £817.70; 4: £408.85; 5: £300; 6: £300; 7: £300; 8: £300",,206.10,-9.19,,,,,Ballydoyle,,17.000,5/4,,,,149.0,19.0000,9.5000,,80.0,38.0,45.0,Charlie Bennett,Chris Gordon,,,Cacique (IRE),Are You Mine (IRE),Banyumanik,op 11/8 tchd 7/4,,
,,04:25:00,,,,,,,,"1: £5,913.18; 2: £1,736.28; 3: £868.14; 4: £434.07; 5: £350; 6: £350; 7: £350",,219.04,-9.00,,,,,Banoffee,,19.000,50/1,,,,150.0,20.0000,9.7500,,81.0,39.0,46.0,Charlie Deutsch,Chris Grant,,,Califet (FR),As Good As Gold (IRE),Barathea,op 12/1,,
,,04:27:00,,,,,,,,"1: £5,913.18; 2: £1,736.28; 3: £868.14; 4: £434.07; 5: £350; 6: £350; 7: £350; 8: £350",,219.17,-8.76,,,,,Baron Wild,,21.000,6/1,,,,151.0,21.0000,10.0000,,82.0,40.0,47.0,Charlie Hammond,Chris Honour,,,Camacho,Ascendancy,Barathea Guest,op 12/1 tchd 10/1,,
,,04:30:00,,,,,,,,"1: £7,017.84; 2: £2,060.64; 3: £1,030.32",,219.74,-8.75,,,,,Barossa Red,,23.000,6/4,,,,152.0,22.0000,10.2500,,83.0,41.0,48.0,Charlie O'Dwyer,Chris McSharry,,,Camelot,Ash,Be My Guest,op 12/1 tchd 11/1,,
,,04:33:00,,,,,,,,"1: £7,147.80; 2: £2,098.80; 3: £1,049.40; 4: £524.70; 5: £350; 6: £350; 7: £350",,221.20,-8.66,,,,,Barretstown,,26.000,66/1,,,,153.0,23.0000,10.5000,,84.0,42.0,49.0,Charlie Price,Christian Williams,,,Canford Cliffs (IRE),Asiya (USA),Be My Native,op 12/1 tchd 11/1 and tchd 14/1,,
,,04:35:00,,,,,,,,"1: £7,189.56; 2: £2,232.36; 3: £1,202.04",,223.16,-8.56,,,,,Barrington Court,,29.000,7/1,,,,154.0,24.0000,10.7500,,85.0,43.0,50.0,Charlie Todd,Clive Cox,,,Cape Cross (IRE),Asteya (IRE),Beat All,op 12/1 tchd 14/1,,
,,04:40:00,,,,,,,,"1: £9,112; 2: £3,419.20; 3: £1,712; 4: £852.80; 5: £428.80",,223.70,-7.69,,,,,Bartleys Boy,,34.000,7/2,,,,155.0,25.0000,11.0000,,86.0,44.0,51.0,Chris Hayes,Colin Tizzard,,,Carlotamix (FR),Athreyaa,Beat Hollow,op 12/1 tchd 15/2,,
,,04:43:00,,,,,,,,,,223.90,-7.11,,,,,Basford Dan,,41.000,7/4,,,,156.0,26.0000,11.2500,,87.0,45.0,52.0,Ciaran Gethings,Conor O'Dwyer,,,Casamento (IRE),Atlantide (USA),Beau Genius,op 12/1 tchd 16/1,,
,,04:50:00,,,,,,,,,,224.31,-7.07,,,,,Battle Angel,,51.000,7/5,,,,157.0,28.0000,11.5000,,88.0,46.0,53.0,Ciaran Mckee,D E Fitzgerald,,,Champs Elysees,Attire (IRE),Beneficial,op 12/1 tchd 18/1,,
,,04:55:00,,,,,,,,,,225.80,-6.56,,,,,Battleofthesomme,,67.000,8/1,,,,158.0,29.0000,11.7500,,89.0,47.0,54.0,Cieren Fallon,D J Bunyan,,,Charming Thought,Avenging Angel (IRE),Bering,op 12/1 tchd 9/1 and tchd 14/1,,
,,05:00:00,,,,,,,,,,227.55,-6.31,,,,,Bbold,,81.000,8/11,,,,159.0,30.0000,12.0000,,90.0,48.0,55.0,Cillin Leonard,D J Jeffreys,,,Cityscape,Ayasha,Beveled,op 125/1,,
,,05:05:00,,,,,,,,,,234.30,-6.24,,,,,Beach Break,,101.000,8/13,,,,160.0,32.0000,12.2500,,91.0,49.0,56.0,Colin Keane,D K Weld,,,Clodovil (IRE),Azaban (IRE),Big Shuffle,op 125/1 tchd 200/1,,
,,05:10:00,,,,,,,,,,241.70,-6.23,,,,,Bear Attraction,,126.000,80/1,,,,161.0,35.0000,12.5000,,92.0,50.0,57.0,Colm McCormack,Dai Burchell,,,Coach House (IRE),Azelle,Birdstone,op 125/1 tchd 80/1,,
